ke	k @
diperurun	d i p @ r u r u n
diperungdingka	d i p @ r u NG d i NG k a
diperundin	d i p @ r u n d i n
diperudingka	d i p @ r u d i NG k a
diperubutka	d i p @ r u b u t k a
diperubatkka	d i p @ r u b a t KK k a
dipermabu	d i p @ r m a b u
diperiri	d i p @ r i r i
diperintahka	d i p @ r i n t a h k a
diperinsaku	d i p @ r i n s @ k u
diperindingka	d i p @ r i n d i NG k a
diperindangka	d i p @ r i n d a NG k a
diperimbai	d i p @ r i m b aj
diperesam	d i p @ r i s @ m
diperchikperchik	d i p @ r tS h i KK p @ tS i KK
diperatikanya	d i p @ r a t i k @ NJ @
diperangkaisereta	d i p @ r a NG k aj z @ r e t a
diperandauka	d i p @ r a n d aw k a
diperambatka	d i p @ r a m b a t k a
diperamabu	d i p @ r a m a b u
diperagam	d i p @ r a g a m
dipenyad	d i p @ NJ a d
dipenuh	d i p @ n o h
dipentin	d i p @ n t i n
dipenjadika	d i p @ n dZ a d i k a
dipenasaka	d i p @ n a s a k @
dipemadu	d i p @ m a d u
dipelunjak	d i p @ l u n dZ a KK
dipelepu	d i p @ l @ p u
dipelengka	d i p @ l @ NG k a
dipeleka	d i p @ l @ k @
dipelebaka	d i p @ l @ b a k @
dipelayaka	d i p @ l a j a k a
dipelandik	d i p @ l a n d e KK
dipelanchar	d i p @ l a n tS a r
dipelampatka	d i p @ l a m p a t k a
dipelampat	d i p @ l a m p a t
dipelajalaika	d i p @ l a dZ a l aj k a
dipelai	d i p @ l aj
dipelaguka	d i p @ l a g u k a
dipelabakka	d i p @ l a b a KK k a
dipelab	d i p @ l a b
dipejurdaika	d i p @ dZ u r d aj k a
dipejuarika	d i p @ dZ w a r i k a
dipejuari	d i p @ dZ w a r i
dipejlaika	d i p @ dZ l aj k a
dipejeraka	d i p @ dZ @ r a k a
dipejera	d i p @ dZ @ r a
dipejati	d i p @ dZ a t i
dipejalku	d i p @ dZ a l k u
dipejalalika	d i p @ dZ a l a l i k a
dipejalaka	d i p @ dZ a l a k @
dipejalajai	d i p @ dZ a l a dZ aj
dipejalaikalalu	d i p @ dZ a l aj k a l a l u
dipejalaijka	d i p @ dZ a l e aj dZ e k e e
dipejalaiaka	d i p @ dZ a l aj a k @
dipejakuka	d i p @ dZ a k u k a
dipejaiku	d i p @ dZ aj k u
dipegi	d i p @ g i
dipeggai	d i p @ g g aj
dipeduaka	d i p @ d w a k @
dipedis	d i p @ d i s
dipedaka	d i p @ d a k a
dipedai	d i p @ d @ i
dipechahaka	d i p @ tS h a h a k @
dipecahka	d i p @ tS a h k a
dipebelit	d i p @ b @ l e t
dipebasau	d i p @ b a s aw
dipebandingka	d i p @ b a n d i NG k a
dipeaum	d i p @ o m
dipdedua	d i p d @ d w @
dipdah	d i p d a h
dipaumka	d i p a o m k e e
dipaum	d i p a o m
dipatahka	d i p a t a h k a
dipasutka	d i p a s u t k a
dipasukkanyadi	d i p a s o KK k a n j a d i
dipasangka	d i p a s a NG k a
dipasa	d i p a s a
diparuk	d i p a r o KK
dipanyadika	d i p a NJ a d i k a
dipanyadi	d i p a n j a d i
dipantauka	d i p a n t aw k a
dipantap	d i p a n t a p
dipantang	d i p a n t a NG
dipantaika	d i p a n t aj k a
dipansutkka	d i p a n s j u t i k e k e e
dipansutk	d i p a n s j u t i k e
dipankung	d i p a n k o NG
dipangkaka	d i p a NG k a k a
dipanggum	d i p a NG g o m
dipalik	d i p a l i KK
dipakejka	d i p a k @ dZ k a
dipain	d i p a e n
dipadudipejalaika	d i p a d u d i p @ dZ a l aj k a
dipadi	d i p a d i
dipadang	d i p a d a NG
dinunu	d i n u n u
dinnis	d i n i s
dinjung	d i n dZ o NG
dinjau	d i n dZ aw
dinidini	d i n i d i n i
dingumpul	d i NG u m p u l
dinggi	d i NG g i
dinenakka	d i n @ n a KK k a
dinempaya	d i n e m p a j @
dindin	d i n d i n
dindah	d i n d a h
dinatka	d i n a t k a
dinamikselalu	d i n a m i KK s @ l a l u
dimunka	d i m u n k a
dimport	d i m p o t
dimodenka	d i m o d @ n k a
dimintin	d i m i n t i n
dimimpi	d i m i m p i
dimengeri	d i m @ NG @ r i
dimbi	d i m b i
dimbab	d i m b a b
dimatika	d i m a t i k a
dimata	d i m a t @
dimakit	d i m a k e t
dilutka	d i l u t k a
diluska	d i l u s k a
dilunggarka	d i l u NG g a k a
diluchut	d i l u tS h u t
diluak	d i l w a KK
dilintum	d i l i n t o m
dililong	d i l i l o NG
dilicha	d i l i tS a
dilerai	d i l @ r aj
dilengkas	d i l @ NG k a s
dilengkakka	d i l @ NG k a KK k a
dileneation	d i l @ n i e SS @ n
dilempungka	d i l e m p o NG k a
dilekaka	d i l @ k a k @
dilechut	d i l @ tS u t
dilara	d i l a r a
dilapur	d i l a p o
dilangit	d i l a NG e t
dilanggarka	d i l a NG g a k a
dilang	d i l a NG
dilampat	d i l a m p a t
dilaluka	d i l a l u k a
dilalaika	d i l a l aj k a
dilakonka	d i l a k o n k a
dilakka	d i l a KK k a
dilak	d i l a KK
dikuntrul	d i k u n t r u l
dikumpai	d i k u m p a i
dikumen	d i k u m @ n
dikum	d i k u m
dikukun	d i k u k u n
dikukuhka	d i k u k o h k a
dikuingka	d i k u i NG k a
dikuing	d i k u i NG
dikuasi	d i k w a s i
dikuarka	d i k w a r k a
diksebut	d i KK s @ b u t
dikrerandau	d i k r e r a n d aw
dikredit	d i k r e d i t
dikompose	d i k o m p o s
dikompos	d i k o m p o s
dikomplin	d i k o m p l i n
dikompelin	d i k o m p @ l i n
dikomersil	d i k o m @ r s e l
dikna	d i KK n a
diklena	d i k l e n a
dikiti	d i k e t i
dikipas	d i k i p a s
dikinsilka	d i k i n s e l k a
dikinggat	d i k i NG g a t
dikingat	d i k i NG a t
dikeulihka	d i k @ u l e h k a
diketuju	d i k @ t u dZ u
diketruaika	d i k @ t r w a i k a
diketerubah	d i k @ t @ r u b a h
diketenguk	d i k @ t @ NG o KK
diketegorika	d i k @ t @ g o r i k a
diketauika	d i k @ t aw i k @
diketatika	d i k @ t a t i k a
diketas	d i k @ t a s
diketakutka	d i k @ t a k u t k a
diketak	d i k @ t a KK
dikerumun	d i k @ r u m u n
dikeruhka	d i k @ r o h k a
dikerubung	d i k @ r u b o NG
dikeringka	d i k @ r i NG k a
dikeringatka	d i k @ r i NG a t k a
dikerinda	d i k @ r i n d a
dikerimbaika	d i k @ r i m b a e k a
dikerimbai	d i k @ r i m b aj
dikerichahka	d i k @ r i tS a h k a
dikererembaika	d i k @ r e r @ m b aj k a
dikerengkunka	d i k @ r @ NG k u n k a
dikerekun	d i k @ r @ k u n
dikeregau	d i k @ r @ g aw
dikeredutka	d i k @ r e d j u t i k e e
dikerebutka	d i k @ r @ b u t k a
dikerebut	d i k @ r @ b u t
dikerebak	d i k @ r @ b a KK
dikeratnya	d i k @ r a t NJ a
dikerarap	d i k @ r a r a p
dikerapatka	d i k @ r a p a t k a
dikerandu	d i k @ r a n d u
dikerandaukapengandal	d i k @ r a n d aw k a p @ NG a n d a l
dikeranda	d i k @ r a n d @
dikeraja	d i k @ r a dZ @
dikenyatika	d i k @ NJ a t i k a
dikenyati	d i k @ NJ a t i
dikenuluka	d i k @ n u l u k @
dikenukuka	d i k @ n u k u k a
dikenuku	d i k @ n u k u
dikenegap	d i k @ n @ g a p
dikenchadi	d i k @ n tS h a d i
dikenataikapemeli	d i k @ n @ t aj k a p @ m @ l i
dikenan	d i k @ n @ n
dikemurukka	d i k @ m u r o KK k a
dikemuntangaaka	d i k @ m u n t a NG a k @
dikemun	d i k @ m u n
dikemujurku	d i k @ m u dZ o k u
dikemuan	d i k @ m u a n
dikempuk	d i k @ m p o KK
dikempit	d i k @ m p e t
dikemndarka	d i k @ m n d a k a
dikemeratkapia	d i k @ m e r a t k a p j a
dikemeratkapemujur	d i k @ m e r a t k a p @ m u dZ o
dikemerana	d i k @ m @ r a n a
dikemendarku	d i k @ m @ n d a k u
dikemenasangka	d i k @ m @ n a s a NG k a
dikemegau	d i k @ m @ g aw
dikemediska	d i k @ m @ d i s k @
dikembuanenggau	d i k @ m b w a n @ NG g aw
dikemayuhka	d i k @ m a j o h k a
dikemasang	d i k @ m a s a NG
dikemaruka	d i k @ m a r u k a
dikemartka	d i k @ m a r t k a
dikemaran	d i k @ m a r a n
dikemansangenggau	d i k @ m a n s a NG @ NG g aw
dikemansangaka	d i k @ m a n s a NG a k @
dikemanaka	d i k @ m a n a k a
dikemanahkapia	d i k @ m a n a h k a p j a
dikemajakka	d i k @ m a dZ a KK k a
dikemaduka	d i k @ m a d u k a
dikemadar	d i k @ m a d a
dikelitika	d i k @ l i t i k @
dikelip	d i k @ l i p
dikelimatka	d i k @ l i m a t k a
dikelikuhka	d i k @ l i k u h k a
dikelikau	d i k @ l i k aw
dikelesei	d i k @ l e s e i
dikelengkaka	d i k @ l @ NG k a k a
dikelempungka	d i k @ l @ m p o NG k a
dikelekaika	d i k @ l @ k aj k a
dikelapungka	d i k @ l a p o NG k a
dikelapung	d i k @ l a p o NG
dikelantar	d i k @ l a n t a
dikelandikka	d i k @ l a n d e KK k a
dikelalukuka	d i k @ l a l u k u k a
dikelaika	d i k @ l aj k a
dikelabur	d i k @ l a b o
dikektor	d i k @ KK t o
dikekemendarka	d i k @ k @ m @ n d a r k a
dikekala	d i k @ k a l @
dikeirau	d i k @ i r aw
dikeingin	d i k @ i NG i n
dikeibuhkarayat	d i k @ i b u h k a r a j a t
dikeibuhkamerinsa	d i k @ i b u h k a m @ r i n s a
dikeenggai	d i k @ @ NG g aj
dikeengaika	d i k @ @ NG a e k a
dikedut	d i k @ d u t
dikedekanya	d i k @ d @ k @ NJ @
dikedakaka	d i k @ d a k a k a
dikebu	d i k @ b u
dikebat	d i k @ b a t
dikebasaka	d i k @ b a s a k @
dikeaumka	d i k @ a o m k e e
dikearapulih	d i k @ a r a p u l e h
dikeangkun	d i k @ a NG k u n
dikcena	d i k SS @ n @
dikcemansangka	d i k s m a n s a NG k @
dikayuh	d i k a j o h
dikaraqpka	d i k a r a k j u p i k e e
dikanggauka	d i k a NG g aw k a
dikamansangka	d i k a m a n s a NG k @
dikamah	d i k a m a h
dikaling	d i k a l i NG
dikali	d i k a l i
dijuraika	d i dZ u r aj k a
dijurai	d i dZ u r aj
dijualpia	d i dZ w a l p j a
diju	d i dZ u
dijpejuraika	d i dZ p @ dZ u r aj k a
dijkereja	d i dZ k @ r @ dZ a
dijir	d i dZ e
dijingkau	d i dZ i NG k aw
dijih-sungai	d i dZ e h s u NG aj
dijeput	d i dZ @ p u t
dijenguk	d i dZ @ NG o KK
dijembui	d i dZ @ m b u i
dijaual	d i dZ aw w a l
dijait	d i dZ a e t
dijaika	d i dZ a i k a
diiyarka	d i i j a k a
diitumbuhka	d i i t u m b o h k a
diitu	d i i t u
diirika	d i i r i k a
diipegai	d i i p @ g aj
diintuenggau	d i i n t u @ NG g aw
diintibiu	d i i n t i b i w
diinterview	d i i n t @ r v j u
diinsurka	d i i n s u r k a
diingkupka	d i i NG k o p k a
diingkas	d i i NG k a s
diinginka	d i i NG i n k a
diinggap	d i i NG g a p
diingakt	d i i NG a KK t
diindik	d i i n d e KK
diimbur	d i i m b o
diilih	d i i l e h
diilalau	d i i l a l aw
diiklanka	d i i KK l a n k a
diikemendarka	d i i k @ m @ n d a r k a
diikemansang	d i i k @ m a n s a NG
diiiring	d i i i r i NG
diiintu	d i i i n t u
diidang	d i i d a NG
diiching	d i i tS i NG
dihgaga	d i h g a g a
dih	d i h
digunaka	d i g u n a k a
digugurka	d i g u g u r k a
digitalworks	d i dZ i t a l w @ KK s
digezet	d i g e z e
digeraji	d i g @ r a dZ i
digenang	d i g @ n a NG
digempungka	d i g @ m p o NG k a
digelumu	d i g @ l u m u
digazetted	d i g @ z e t d
digantungka	d i g a n t o NG k a
digama	d i g a m a
digalun	d i g a l u n
digagaukai	d i g a g a u k aj
digagag	d i g a g a g
digag	d i g a g
dietetics	d aj t e t i KK s
dierikta	d i e r i KK t a
diepalabaka	d i e p a l a b a k a
diepajalaika	d i e p a dZ a l aj k a
dientaraka	d i e n t a r a k a
dientakka	d j @ n t a KK k a
diensiang	d j @ n s j a NG
dienjukka	d j @ n dZ u KK k a
dienjuk	d i e n dZ o KK
diengkilun	d i e NG k e l u n
dienda	d i e n d a
diempuru	d i @ m p u r u
diempelita	d i e m p @ l i t @
diempayaka	d i e m p a j @ k a
diempau	d i e m p aw
diempang	d i e m p a NG
diempalungka	d i e m p a l o NG k a
diempaku	d i e m p @ k u
diembi	d i e m b i
diembang	d i e m b a NG
diektor	d i e KK t o
diekena	d i k @ n @
diejuka	d i e dZ o k a
dieh	d i e h
dieempu	d i e @ m p u
didokument	d i d o k u m @ n t
didokumen	d i d o k u m @ n
didkemanah	d i d k @ m a n a h
didipejalai	d i d i p @ dZ a l a i
didingga	d i d i NG g a
didingaka	d i d i NG a k @
didindangka	d i d i n d a NG k a
didewan	d i d @ w a n
didero	d i d @ r o
dideka	d i d @ k @
didberi	d i d b e r i
didat	d i d a t
didaing	d i d a i NG
didagang	d i d a g a NG
dicipline	d i tS i p l i n
dichup	d i tS o p
dichunting	d i tS u n t i NG
dichukai	d i tS u k aj
dichuan	d i tS w a n
dichop	d i tS o p
dichonto	d i tS o n t o
dichek	d i tS e KK
dichat	d i tS e t
dichas	d i tS @ s
dichamur	d i tS a m o r
dichaj	d i tS h a dZ
dichabar	d i tS h a b a
dicelak	d i tS @ l a KK
dicatitka	d i tS a t e t k a
dibup	d i b u p
dibungkar	d i b u NG k a
dibuking	d i b u k i NG
dibukaberengkah	d i b u k @ b @ r @ NG k a h
dibujuk	d i b u dZ o KK
dibuailaban	d i b w aj l a b a n
dibuah	d i b w a h
dibisi	d i b i s i
dibiki	d i b i k i
dibicharaka	d i b i tS h a r a k a
dibibaska	d i b i b a s k a
dibiau	d i b j aw
dibesuluka	d i b @ s u l u k @
dibesaika	d i b @ s a i k a
diberu	d i b @ r u
diberatka	d i b @ r a t k a
diberatika	d i b @ r a t i k a
diberapi	d i b @ r a p i
dibelematika	d i b @ l @ m a t i k a
dibelangkin	d i b @ l a NG k i n
dibejalaika	d i b @ dZ a l aj k a
dibechara	d i b @ tS h a r a
dibechairmanka	d i b @ tS e r m e n k a
dibayai	d i b a j aj
dibaya	d i b a j a
dibatantaika	d i b a t a n t aj k a
dibataika	d i b a t a i k a
dibatai	d i b a t aj
dibasuk	d i b a s o KK
dibantuketu	d i b a n t u k @ t u
dibantarka	d i b a n t a k a
dibansi	d i b a n s i
dibandingaka	d i b a n d i NG a k @
dibandig	d i b a n d i g
dibalai	d i b a l aj
dibagika	d i b a g i k @
dibabak	d i b a b a KK
diayahka	d i a j a h k a
diawakka	d j a w a KK k a
diautr	d aj o t r
diaut	d i a u t
diauka	d i aw k a
diaudikena	d i aw d i k @ n @
diatuukai	d i a t u u k aj
diatutu	d i a t u t u
diaturngambika	d i a t o NG g @ m b i k a
diaturbaka	d i a t u r b a k @
diatupengawa	d i a t u p @ NG a w @
diatuorang	d i a t u o r a NG
diatumayuh	d i a t u m a j o h
diatulaban	d i a t u l a b a n
diatuiya	d i a t u j a
diatuempat	d i a t u @ m p a t
diatue	d i a t u
diatrur	d i a t r u r
diatpi	d i a t p i aj
diati	d j a t i
diatanka	d j a t a n k @
diasur	d i a s o r
diasuoh	d i a s u w o h
diasuk	d i a s o KK
diasuhka	d i a s u h k a
diasu	d i a s u
diaris	d j a r i s
diaraur	d i a r a u r
diarapka	d i a r a p k a
diaraka	d i a r a k a
diapuska	d i a p u s k a
dianyut	d i a NJ u t
dianti-anti	d i a n t i a n t i
dianogsis	d i a n o g s @ s
dianjunga	d i a n dZ o NG a
dianguntung	d i a NG u n t o NG
diangkun	d i a NG k u n
diang	d j a NG
dianchurka	d i a n tS h u r k a
dianchur	d i a n tS h u r
dianan	d i a n a n
diampitka	d i a m p e t k a
dialoge	d aj l o g @
dialit	d i a l e t
diajung	d i a dZ u NG
diaitur	d j @ i t u r
diagonosis	d aj @ g o n o s i s
diaduku	d i a d u k u
diadakaku	d i a d @ k a k u
diabi	d i a b i
diabetik	d aj b e t i KK
diaatur	d aj a t o
di-ripot	d i r i p o t
di-raja	d i r a dZ @
dhs	d i h i e s
dhobi	d o b i
dhep	d i e tS i p i
dhc-enam	d i e tS s i @ n a m
dgree	d g r i
dgorgeous	d g o r dZ @ s
deylyme	d e l aj m
dewin	d e w i n
devong	d e v o NG
deviden	d e v i d @ n
deveson	d e v e s @ n
deveraj	d i v @ r a dZ
developement	d i v @ l @ p m @ n t
devanesan	d i v a n e s a n
devaclas	d i v a k l a s
detourers	d i t w @ r @ s
destinasyen	d e s t i n e i SS @ n
desmon	d e z m @ n
desimber	d e s i m b @
desember	d e s e m b @
desaras	d e s a r a s
desaiya	d @ s aj j a
desain	d @ s aj n
des-burke	d e s b @ k
derung	d @ r u NG
dero	d e r o
dermalah	d @ r m @ l a h
derka	d @ r k a
derintah	d @ r i n t a h
derima	d @ r i m a
deribapia	d @ r i b a p j a
deribaka	d @ r i b a k @
deretor	d e r e t @
dereta	d e r e t a
deoksiribonukleik	d i o KK s i r i b o n j u k l e KK
denap	d e n a p
dempi	d e m p i
demostrasi	d e m o s t r a s i
demoktratik	d e m o KK t r e t i KK
demoktarik	d e m o KK t a r e KK
demokrattik	d e m o k r a t i KK
demokratif	d e m o k r a t i f
demokartik	d e m o k a t e KK
demografipengawa	d e m o g r a f i p @ NG a w @
demie	d i m i
demei	d i m e j
dema	d i m a
dely	d i l i
delis	d e l i s
dekratik	d e k r a t i KK
deikereja	d e i k @ r @ dZ a
dehli	d e h l i
dehem	d @ h @ m
degom	d @ g o m
degeles	d @ g @ l e s
degaul	d @ g a u l
dega	d e g a
def-gab-c	d e f g a b tS
deevapali	d i v a p a l i
deduran	d @ d o r a n
dedurah	d @ d u r a h
dedinggai	d e d i NG g aj
dedi	d e d i
dedempam	d e d e m p i e e m
debot	d e b o t
debao	d e b aw
dbnakapit	d i b i e n a k a p i t
dberi	d b e r i
dbda	d i b i d i e
dbayar	d b a j a
dbandingka	d b a n d i NG k a
dayo	d a j o
daying	d e j i NG
dayakpictures	d a j a KK p i KK tS @ s
dayakku	d a j a KK k u
dayakfilmmaker	d a j a KK f i l m e k @
dawossepenyampau	d a w o s @ p @ NJ a m p aw
dawo	d a w o
dawen	d a w @ n
davidmensia	d e v i d m e n SS @
davadason	d a v e d @ s @ n
dauh	d a o h
datur	d a t o r
datul	d a t u l
datau	d a t aw
datatech	d a t a t e k
dataio	d a t aj o
dataingagai	d a t aj NG a g aj
dataim	d a t a i m
datai-datai	d a t aj d a t aj
dasu	d a s u
dasri	d a s r i
dason	d a s @ n
dasni	d a s n i
dasey	d a s i
dasaratha	d a s a r a t a
dasang	d a s a NG
darung	d a r o NG
darulssalam	d a r u l s a l a m
darrusalam	d a r u s a l a m
daris	d a r i s
darau	d a r aw
darani	d a r a n i
darahkemi	d a r a h k @ m i
dapu	d a p u
dapmalaysia	d a p m @ l e s j @
dapenggau	d a p @ NG g aw
dapdoktor	d a p d o KK t @
dapba	d i e p i b i e
dapaku	d a p @ k u
dap-seputeh	d a p s @ p u t e h
dap-meradong	d a p m @ r a d o NG
dap-kidurong	d a p k i d u r o NG
dap-dudong	d a p d u d o NG
dap-batu	d a p b a t u
daong	d a o NG
danyan	d a n j a n
danjung	d a n dZ o NG
danien	d e n j @ n
danggis	d a NG g i s
dangga	d a NG g @
dandu	d a n d u
dandot	d a n d o t
dandi	d a n d i
dampi	d a m p i
dambul	d a m b u l
damang	d a m a NG
dalit	d a l e t
daleh	d a l e h
dalamlaban	d a l a m l a b a n
dalalam	d a l a l a m
dalaam	d a l a m
dakih	d a k e h
dakak	d a k a KK
dagng	d i e dZ i e n dZ i
dagangn	d a g a NG n
daftarj	d a f t a r dZ
daesim	d a e s i m
daedeok	d e d i o KK
dadk	d e d i k e
dadahku	d a d a h k u
dabok	d a b o KK
dabal	d a b a l
daagng	d e e dZ i e n dZ i
d-indu	d i n d u
cyrene	s i r @ n
cyntex	s i n t e KK s
cybersafe	s aj b @ s @ f e
cybercrime	s aj b @ k r aj m
cwwn	s i d a b l j u d a b l j u e n
curazon	tS u r a z o n
cura	tS u r a
cultural-shock	k a l tS @ r @ l SS o k
cuchi	tS u tS i
cuan	tS u a n
ctf	s i t i e f
csg	s i e s dZ i
cryptographic	k r aj p t o g r a f i k
cryotosytems	k r j o t o SS t @ m s
cruddas	k r @ d @ s
crocodille	k r o k @ d aj l
crissy	k r i s i
crisstina	k r i s s t i n a
crative	k r e t i v
cpsudah	s i p i e s u d a h
cpm	s i p i e m
cpga	s i p i dZ i e
cpg	s i p i dZ i
couselling	k u s e l i NG
counterfoil	k aw n t @ f oj l
counselling	k aw n s @ l i NG
cotlin	k o t l i n
cosmopoint	k o z m @ p oj n t
cosmilla	k o s m i l a
coryna	k o r i n a
corrine	k o r i n
cornerbeserimbai	k o r n @ b @ s @ r i m b aj
cornella	k o r n e l a
cornas	k o r n a s
copi	k o p i
cooray	k u r e
cooporation	k u p @ r e SS @ n
coolings	k u l i NG s
convenction	k @ n v i n k SS @ n
consevation	k @ n s e v e SS @ n
connylia	k o n i l j a
confexhub	k @ n f e KK s u b
conferance	k o n f @ r @ n s
confederated	k @ n f e d @ r e t @ d
concensus	k o n s e n s @ s
compuway	k o m p j u w e
computech	k o m p j u t e k
competiton	k @ m p e t @ t @ n
competation	k @ m p i t e SS n
companya	k @ m p @ NJ @
compaliance	k o m p a l aj @ n s
commonwealtheducationcarnival	k o m @ n w e l t e d j u k e SS @ n k a r n i v @ l
comference	k o m f @ r @ n s
comemrce	k o m e m r s
combadia	k o m b a d j a
columbas	k @ l @ m b a s
colouring	k a l @ i NG
cokma	tS o KK m a
cocoaland	k o k o l @ n d
co-curricular	tS o k @ r i k j u l @
closed-circuit	k l o s d s @ k i t
clonning	k l o n i NG
climta	k l aj m t i e
clickishness	k l i k i SS n @ s
clementina	k l e m @ n t i n a
cleanathon	k l i n @ t @ n
claypot	k l e p o t
clarus	k l a r u s
cjmp	s i dZ e m p i
cjas	s i dZ e e s
city-capital	s i t i tS a p i t @ l
cinhin	tS i n i n
cinemascapes	s i n @ m a s k e p s
cinaaku	tS i n a KK a k u
cin	tS i n
cimbclicks	s i aj e m b i k l i KK s
cihanjuang	s i aj h a n dZ w a NG
chyukup	tS j u k o p
chuto	tS u t o
chut	tS u t
churung	tS u r o NG
churapia	tS u r a p j a
churap-churap	tS u r a p tS h u r a p
chupong	tS u p o NG
chuong	tS u o NG
chuoi	tS u oj
chuntoh	tS u n t o h
chuntogenap	tS u n t o g @ n a p
chunting	tS u n t i NG
chunh	tS u n
chungut	tS u NG u t
chunging	tS @ n dZ i NG
chungging	tS u NG g i NG
chunggai	tS u NG g a i
chungat	tS u NG a t
chundang	tS u n d a NG
chulun	tS u l u n
chukuppom	tS u k u p o m
chukupm	tS u k o p i e m
chukui	tS u k u i
chuku	tS u k u
chuka	tS u k a
chuinto	tS u i n t o
chuechilldrrem	tS u e k i l d r @ m
chuak	tS w a KK
chrui	k r u i
christtoper	k r i s t o p @
christiffany	k r i s t i f a n i
chrisnalter	k r i s n o l t @
choup	tS u p
choldery	tS o l d @ r i
chitak	tS i t a KK
chistoper	tS i s t o p @
chiropratic	tS i r o p r a t i k
chirman	tS i r m a n
chirit	tS i r e t
chiplak	tS i p l a KK
chio	tS j o
chinso	tS i n s o
chinosim	tS i n o s i m
chinggai	tS i NG g aj
chinesse	tS aj n i s
china-miri	tS aj n @ m i r i
china-malaysia	tS aj n @ m a l a j s j @
chimiezie	tS i m i z i
chikar	tS i k a
chigu	tS i g u
chienese	tS j @ n i s
chief-de-mission	tS i f d @ m i SS @ n
chialalu	tS j a l a l u
chetak	tS @ t a KK
cherllene	tS @ r l i n
cherayan	tS @ r a j a n
chengir	tS @ NG e r
chenggir	tS @ NG g e
chengang	tS @ NG a NG
chendu	tS @ n d u
chenderamata	tS @ n d @ r a m a t a
chemeline	k i m l aj n
chemelin	tS @ m @ l i n
chemai	tS @ m aj
cheling	tS @ l i NG
chelak-dua	tS @ l a KK d u w a
chekap	tS @ k a p
chechirak	tS @ tS e r a KK
chechinang	tS @ tS i n a NG
checamang	tS @ tS a m a NG
chayak	tS a j a KK
chaya	tS a j a
chaun	tS aw n
chasemon	tS e s m @ n
charta	tS a t @
charli	tS a r l i
charito	tS e r i t o
chapho	tS e p h o
chapak	tS a p a KK
changkuk	tS a NG k o KK
changkol	tS a NG k o l
changka	tS a NG k @
changgan	tS a NG g @ n
chanee	tS a n i
chandi	tS a n d i
chandang	tS a n d a NG
chameson	tS a m e s @ n
chameline	tS a m @ l i n
chamdan	tS a m d a n
chambok	tS e m b o KK
chamat	tS a m a t
chalunku	tS a l u n k u
chalu	tS a l u
chalong	tS a l o NG
challlenge	tS e l l e n dZ
chalie	tS a l i
chakun	tS a k u n
chakim	tS a k i m
chaiti	tS aj t i
chairmain	tS e r m e n
chairan	tS aj e r a n
chairamn	tS e r @ m n
chaieman	tS aj m @ n
chagan	tS a g a n
chacho	tS a tS o
chacat	tS a tS a t
chabo	tS e b i o
ch-dua	tS d u w a
cggveritas	s i dZ i dZ i v @ r i t a s
cfrd	s i e f a r d i
cfas	s i e f e e s
ceylonese	s i l o n i s
cess	s e s
ceremin	s e r @ m i n
ceos	s i i o s
centredibuka	s e n t @ d i b u k @
centrals	s e n t r @ l s
centralised	s e n t r @ l i s d
cemerlangh	tS @ m @ r l a NG h
celopatra	tS @ l o p a t r a
celivery	tS @ l i v @ r i
celement	s e l m @ n t
celebral	s e l @ b r @ l
ceilidh	tS @ l i d
cedrick	s e d r i k
cecairberengkah	tS @ tS a e r b @ r @ NG k a h
ceaserian	s i s r i a n
cct	s i s i t i
cbd	s i b i d i
cavalera	k e v @ l e r a
catilina	k e t i l i n a
catherine-brillantes	k e t @ r i n b r i l @ n t s
catch-up	k e tS u p
catacean	k e t e i s @ n
cassio	k e s j o
casidy	k e s i d i
caroylne	k a r oj l n
carom	k a r o m
